Ниво,Години опит,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,Ruby,Python,Android,Objective-C/Swift,QA Enginner,Other, Заплата,Раб. време,Overtime,Град,Год. Бонус
Senior,3-5,,,C#,JavaScript,,,,,,,,SQL,3800,Гъвкаво,"Да, но се заплаща",София,1
Senior,10+,,,C#,JavaScript,Visual Basic .NET,PHP,,,,,,,3000,Гъвкаво,"Да, но не се заплаща",Remote,1
Junior,<1,,,,JavaScript,,,,,,,,,850,Гъвкаво,Не,София,1900
Senior,7-10,,,,,,PHP,,,,,,,3100,Гъвкаво,"Да, но не се заплаща",София,0
Senior,10+,,,,,,,,Python,,,,Go,5500,Стриктно,Не,София,0
Mid Level,3-5,,,C#,JavaScript,,,,,,,,,3200,Стриктно,"Да, но се заплаща",София,2000
Junior,<1,,,,JavaScript,,,,,,,,,1100,Гъвкаво,Не,София,0
Junior,1-3,,,,,,,,,,,QA Enginner,,3000,Гъвкаво,Не,София,5000
Mid Level,1-3,Java,,,JavaScript,,,,,,,,,3500,Гъвкаво,Не,София,0
Senior,5-7,,,,,,,,,,Objective-C/Swift,,,5623,Гъвкаво,"Да, но се заплаща",София,0
Senior,7-10,Java,,,JavaScript,,,,,,,,,4500,Стриктно,"Да, но се заплаща",София,1000
Junior,1-3,,,,,,,,Python,,,,,2200,Гъвкаво,Не,София,4000
Senior,10+,,,,,,,,,,,,Matlab,1700,Гъвкаво,"Да, но не се заплаща",София,2000
Lead Developer/TL,10+,Java,,C#,JavaScript,,,,,,,,,7000,Гъвкаво,"Да, но не се заплаща",София,15000
Lead Developer/TL,3-5,,,,JavaScript,,,Ruby,,,,,Kubernates,6000,Гъвкаво,Не,София,10000
Mid Level,3-5,,C/C++,,JavaScript,,,,,,,,,2200,Гъвкаво,Не,София,1000
Junior,<1,,,C#,JavaScript,Visual Basic .NET,,,,,,,,1200,Стриктно,Не,София,0
Mid Level,1-3,Java,,,JavaScript,Visual Basic .NET,,,Python,,,QA Enginner,,3000,Гъвкаво,Не,София,5500
Mid Level,1-3,,C/C++,,,,,,,,,,,2600,Гъвкаво,"Да, но се заплаща",София,2250
Lead Developer/TL,3-5,Java,,,,,,,,,,,,5000,Гъвкаво,Не,София,3000
Mid Level,1-3,,,,,,,,Python,,,,,2500,Стриктно,Не,София,1500
Senior,10+,Java,,,,,,,Python,,,,,5500,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,10+,Java,,,,,,,,,,,,5500,Стриктно,"Да, но не се заплаща",София,0
Lead Developer/TL,10+,,C/C++,C#,JavaScript,Visual Basic .NET,,,Python,Android,Objective-C/Swift,,,9000,Гъвкаво,"Да, но се заплаща",София,15000
Mid Level,5-7,Java,,,,,,,,,,,,3000,Стриктно,Не,София,0
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,,1600,Гъвкаво,"Да, но се заплаща",София,0
Junior,<1,,,,,,,,,,,,Drupal,1500,Гъвкаво,"Да, но не се заплаща",Бургас,5000
